"No.","Time","Source","Destination","Protocol","Length","Info","TS","Seq"
"1","0.000000","10.2.0.17","10.2.0.11","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15613, Time=1628629055, Mark","1628629055","15613"
"2","0.017233","10.2.0.11","10.2.0.17","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15613, Time=1628629055, Mark","1628629055","15613"
"3","0.020137","10.2.0.17","10.2.0.11","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15614, Time=1628629215","1628629215","15614"
"4","0.023177","10.2.0.11","10.2.0.17","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15614, Time=1628629215","1628629215","15614"
"5","0.039211","10.2.0.17","10.2.0.11","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15615, Time=1628629375","1628629375","15615"
"6","0.043502","10.2.0.11","10.2.0.17","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15615, Time=1628629375","1628629375","15615"
"7","0.059280","10.2.0.17","10.2.0.11","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15616, Time=1628629535","1628629535","15616"
"8","0.067438","10.2.0.11","10.2.0.17","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15616, Time=1628629535","1628629535","15616"
"9","0.079061","10.2.0.17","10.2.0.11","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15617, Time=1628629695","1628629695","15617"
"10","0.082243","10.2.0.11","10.2.0.17","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15617, Time=1628629695","1628629695","15617"
"11","0.099305","10.2.0.17","10.2.0.11","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15618, Time=1628629855","1628629855","15618"
"12","0.102397","10.2.0.11","10.2.0.17","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15618, Time=1628629855","1628629855","15618"
"13","0.119193","10.2.0.17","10.2.0.11","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15619, Time=1628630015","1628630015","15619"
"14","0.122291","10.2.0.11","10.2.0.17","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15619, Time=1628630015","1628630015","15619"
"15","0.139180","10.2.0.17","10.2.0.11","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15620, Time=1628630175","1628630175","15620"
"16","0.141773","10.2.0.11","10.2.0.17","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15620, Time=1628630175","1628630175","15620"
"17","0.159211","10.2.0.17","10.2.0.11","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15621, Time=1628630335","1628630335","15621"
"18","0.162516","10.2.0.11","10.2.0.17","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15621, Time=1628630335","1628630335","15621"
"19","0.179238","10.2.0.17","10.2.0.11","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15622, Time=1628630495","1628630495","15622"
"20","0.182439","10.2.0.11","10.2.0.17","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15622, Time=1628630495","1628630495","15622"
"21","0.199130","10.2.0.17","10.2.0.11","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15623, Time=1628630655","1628630655","15623"
"22","0.202037","10.2.0.11","10.2.0.17","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15623, Time=1628630655","1628630655","15623"
"23","0.219277","10.2.0.17","10.2.0.11","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15624, Time=1628630815","1628630815","15624"
"24","0.222216","10.2.0.11","10.2.0.17","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15624, Time=1628630815","1628630815","15624"
"25","0.239469","10.2.0.17","10.2.0.11","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15625, Time=1628630975","1628630975","15625"
"26","0.242264","10.2.0.11","10.2.0.17","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15625, Time=1628630975","1628630975","15625"
"27","0.259124","10.2.0.17","10.2.0.11","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15626, Time=1628631135","1628631135","15626"
"28","0.262149","10.2.0.11","10.2.0.17","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15626, Time=1628631135","1628631135","15626"
"29","0.279109","10.2.0.17","10.2.0.11","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15627, Time=1628631295","1628631295","15627"
"30","0.281957","10.2.0.11","10.2.0.17","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15627, Time=1628631295","1628631295","15627"
"31","0.299140","10.2.0.17","10.2.0.11","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15628, Time=1628631455","1628631455","15628"
"32","0.302094","10.2.0.11","10.2.0.17","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15628, Time=1628631455","1628631455","15628"
"33","0.319189","10.2.0.17","10.2.0.11","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15629, Time=1628631615","1628631615","15629"
"34","0.321270","10.2.0.11","10.2.0.17","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15629, Time=1628631615","1628631615","15629"
"35","0.339289","10.2.0.17","10.2.0.11","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15630, Time=1628631775","1628631775","15630"
"36","0.341703","10.2.0.11","10.2.0.17","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15630, Time=1628631775","1628631775","15630"
"37","0.359376","10.2.0.17","10.2.0.11","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15631, Time=1628631935","1628631935","15631"
"38","0.361622","10.2.0.11","10.2.0.17","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15631, Time=1628631935","1628631935","15631"
"39","0.380177","10.2.0.17","10.2.0.11","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15632, Time=1628632095","1628632095","15632"
"40","0.382488","10.2.0.11","10.2.0.17","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15632, Time=1628632095","1628632095","15632"
"41","0.399240","10.2.0.17","10.2.0.11","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15633, Time=1628632255","1628632255","15633"
